symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
SBUX,LONG,1,1,0,1.0,0.0302841086481422,0.0302841086481422,0.0302841086481422,0.0302841086481422,0.0302841086481422,0.0308644982393355,-0.0116231228142357,False,NEW_CANDIDATE,False,0.0302841086481422
MOS,SHORT,1,1,0,1.0,0.0297157622739017,0.0297157622739017,0.0297157622739017,0.0297157622739017,0.0297157622739017,-0.088164954588837,0.0459459459459459,False,NEW_CANDIDATE,False,0.0297157622739017
MET,LONG,1,1,0,1.0,0.0281831187410586,0.0281831187410586,0.0281831187410586,0.0281831187410586,0.0281831187410586,0.0387225356525247,-0.0168776371308014,False,NEW_CANDIDATE,False,0.0281831187410586
GDDY,LONG,1,1,0,1.0,0.027282668124658,0.027282668124658,0.027282668124658,0.027282668124658,0.027282668124658,0.0714738111525814,-0.0152901905889953,False,NEW_CANDIDATE,False,0.027282668124658
BLDR,SHORT,1,1,0,1.0,0.0269526672441026,0.0269526672441026,0.0269526672441026,0.0269526672441026,0.0269526672441026,-0.0404354718748339,0.023305526590198,False,NEW_CANDIDATE,False,0.0269526672441026
C,LONG,1,1,0,1.0,0.0267913072808749,0.0267913072808749,0.0267913072808749,0.0267913072808749,0.0267913072808749,0.0363926127195597,-0.0117619047619047,False,NEW_CANDIDATE,False,0.0267913072808749
CTSH,LONG,1,1,0,1.0,0.0266439470219193,0.0266439470219193,0.0266439470219193,0.0266439470219193,0.0266439470219193,0.0333247549353943,-0.0116359182423637,False,NEW_CANDIDATE,False,0.0266439470219193
MSCI,LONG,1,1,0,1.0,0.0263428355060313,0.0263428355060313,0.0263428355060313,0.0263428355060313,0.0263428355060313,0.0221212887606006,-0.0144384123965987,False,NEW_CANDIDATE,False,0.0263428355060313
CMCSA,LONG,1,1,0,1.0,0.0258967347595302,0.0258967347595302,0.0258967347595302,0.0258967347595302,0.0258967347595302,0.0260483573481342,-0.0122338735303463,False,NEW_CANDIDATE,False,0.0258967347595302
ALB,LONG,1,1,0,1.0,0.025858308928905,0.025858308928905,0.025858308928905,0.025858308928905,0.025858308928905,0.0203657169672184,-0.0247326203208555,False,NEW_CANDIDATE,False,0.025858308928905
TYL,LONG,1,1,0,1.0,0.0258103405759375,0.0258103405759375,0.0258103405759375,0.0258103405759375,0.0258103405759375,0.0460317154251477,-0.0075459897483309,False,NEW_CANDIDATE,False,0.0258103405759375
APH,SHORT,1,1,0,1.0,0.0254282750974572,0.0254282750974572,0.0254282750974572,0.0254282750974572,0.0254282750974572,-0.0585174616072097,0.0269962535811356,False,NEW_CANDIDATE,False,0.0254282750974572
SWK,SHORT,1,1,0,1.0,0.0245368052078116,0.0245368052078116,0.0245368052078116,0.0245368052078116,0.0245368052078116,-0.0384168681051213,0.0120359812492079,False,NEW_CANDIDATE,False,0.0245368052078116
FISV,LONG,1,1,0,1.0,0.0241961675868789,0.0241961675868789,0.0241961675868789,0.0241961675868789,0.0241961675868789,0.0587395456459629,-0.0209078623101995,False,NEW_CANDIDATE,False,0.0241961675868789
ON,SHORT,1,1,0,1.0,0.0241379310344828,0.0241379310344828,0.0241379310344828,0.0241379310344828,0.0241379310344828,-0.0300460321517944,0.0188740910205083,False,NEW_CANDIDATE,False,0.0241379310344828
