scenario,symbol,trade_direction,trades,win_rate,avg_return,median_return,best_trade,worst_trade,avg_pnl_per_contract
0_SAME_100_NEXT,FISV,LONG,1,1.0,0.3577235772357725,0.3577235772357725,0.3577235772357725,0.3577235772357725,42.900000000000006
0_SAME_100_NEXT,FTNT,LONG,1,0.0,-0.0225399495374263,-0.0225399495374263,-0.0225399495374263,-0.0225399495374263,-3.3499999999999863
0_SAME_100_NEXT,GDDY,LONG,1,1.0,0.3909341923607914,0.3909341923607914,0.3909341923607914,0.3909341923607914,84.94999999999999
0_SAME_100_NEXT,GLW,SHORT,1,1.0,0.6220795892169444,0.6220795892169444,0.6220795892169444,0.6220795892169444,302.8749999999999
0_SAME_100_NEXT,GNRC,LONG,1,0.0,-0.420620842572062,-0.420620842572062,-0.420620842572062,-0.420620842572062,-237.12499999999997
0_SAME_100_NEXT,GS,LONG,1,0.0,-0.2086461223893676,-0.2086461223893676,-0.2086461223893676,-0.2086461223893676,-535.725
0_SAME_100_NEXT,HAL,SHORT,1,1.0,0.0197073170731707,0.0197073170731707,0.0197073170731707,0.0197073170731707,2.5249999999999995
0_SAME_100_NEXT,HLT,LONG,1,1.0,0.0168208578637512,0.0168208578637512,0.0168208578637512,0.0168208578637512,10.000000000000052
0_SAME_100_NEXT,HOOD,LONG,1,0.0,-0.1544715447154471,-0.1544715447154471,-0.1544715447154471,-0.1544715447154471,-49.87499999999998
0_SAME_100_NEXT,HPE,LONG,1,1.0,0.1600237953599048,0.1600237953599048,0.1600237953599048,0.1600237953599048,13.450000000000006
0_SAME_100_NEXT,HUM,SHORT,2,0.0,-0.0477554667788056,-0.0477554667788056,-0.0467304457527332,-0.048780487804878,-20.86249999999996
0_SAME_100_NEXT,IBKR,LONG,1,0.0,-0.048780487804878,-0.048780487804878,-0.048780487804878,-0.048780487804878,-5.249999999999999
0_SAME_100_NEXT,IBM,LONG,1,1.0,0.3396191617870812,0.3396191617870812,0.3396191617870812,0.3396191617870812,184.1500000000001
0_SAME_100_NEXT,INTC,LONG,1,0.0,-0.3273519163763065,-0.3273519163763065,-0.3273519163763065,-0.3273519163763065,-46.97499999999999
0_SAME_100_NEXT,INTU,LONG,1,1.0,0.5630439024390246,0.5630439024390246,0.5630439024390246,0.5630439024390246,721.4000000000001
0_SAME_100_NEXT,JPM,LONG,1,1.0,0.114870180959874,0.114870180959874,0.114870180959874,0.114870180959874,54.74999999999994
0_SAME_100_NEXT,KKR,LONG,1,1.0,0.0381881533101047,0.0381881533101047,0.0381881533101047,0.0381881533101047,13.700000000000044
0_SAME_100_NEXT,LEN,SHORT,1,1.0,0.135326514555468,0.135326514555468,0.135326514555468,0.135326514555468,42.99999999999997
0_SAME_100_NEXT,LITE,LONG,1,0.0,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-0.2044543140736481,-1102.5249999999992
0_SAME_100_NEXT,LITE,SHORT,1,1.0,0.737293262114679,0.737293262114679,0.737293262114679,0.737293262114679,2864.2
0_SAME_100_NEXT,LRCX,SHORT,2,1.0,0.7415911897561325,0.7415911897561325,0.9442984566416228,0.5388839228706421,582.675
0_SAME_100_NEXT,MA,LONG,2,0.5,-0.0390677782558739,-0.0390677782558739,0.1583398898505112,-0.236475446362259,-49.187500000000036
0_SAME_100_NEXT,MAR,LONG,1,1.0,0.0267131242740998,0.0267131242740998,0.0267131242740998,0.0267131242740998,17.250000000000032
0_SAME_100_NEXT,MCD,SHORT,1,0.0,-0.0781996479758612,-0.0781996479758612,-0.0781996479758612,-0.0781996479758612,-23.325
0_SAME_100_NEXT,META,LONG,1,0.0,-0.0005853658536584,-0.0005853658536584,-0.0005853658536584,-0.0005853658536584,-0.6749999999998479
0_SAME_100_NEXT,MGM,LONG,1,0.0,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-4.899999999999993
0_SAME_100_NEXT,MRVL,SHORT,1,0.0,-0.2906159570070277,-0.2906159570070277,-0.2906159570070277,-0.2906159570070277,-87.87500000000001
0_SAME_100_NEXT,MS,LONG,1,0.0,-0.12538877066623,-0.12538877066623,-0.12538877066623,-0.12538877066623,-38.29999999999996
0_SAME_100_NEXT,NCLH,SHORT,1,1.0,0.185125949620152,0.185125949620152,0.185125949620152,0.185125949620152,11.575000000000005
0_SAME_100_NEXT,NFLX,LONG,1,0.0,-0.1085714285714283,-0.1085714285714283,-0.1085714285714283,-0.1085714285714283,-19.47499999999995
0_SAME_100_NEXT,NRG,SHORT,1,1.0,0.0500475134621476,0.0500475134621476,0.0500475134621476,0.0500475134621476,19.74999999999998
0_SAME_100_NEXT,OXY,SHORT,3,0.3333333333333333,0.017470806768839033,-0.0361815538685188,0.3568866571018652,-0.2682926829268293,0.41666666666666546
0_SAME_100_NEXT,PCG,SHORT,1,0.0,-0.3163109756097558,-0.3163109756097558,-0.3163109756097558,-0.3163109756097558,-10.37499999999999
0_SAME_100_NEXT,PM,SHORT,1,0.0,-0.1280487804878048,-0.1280487804878048,-0.1280487804878048,-0.1280487804878048,-23.625000000000007
0_SAME_100_NEXT,PYPL,LONG,1,0.0,-0.1616370400992144,-0.1616370400992144,-0.1616370400992144,-0.1616370400992144,-19.54999999999998
0_SAME_100_NEXT,RCL,LONG,1,0.0,-0.4712567289160629,-0.4712567289160629,-0.4712567289160629,-0.4712567289160629,-354.54999999999995
0_SAME_100_NEXT,RDDT,LONG,1,0.0,-0.0336817653890824,-0.0336817653890824,-0.0336817653890824,-0.0336817653890824,-21.749999999999936
0_SAME_100_NEXT,SBUX,LONG,1,1.0,1.12524719841793,1.12524719841793,1.12524719841793,1.12524719841793,128.025
0_SAME_100_NEXT,STX,SHORT,2,0.5,0.024819349857459747,0.024819349857459747,0.1206554878048782,-0.0710167880899587,28.875000000000213
0_SAME_100_NEXT,STZ,SHORT,1,1.0,0.7597560975609756,0.7597560975609756,0.7597560975609756,0.7597560975609756,155.75
0_SAME_100_NEXT,T,LONG,1,1.0,0.3045296167247389,0.3045296167247389,0.3045296167247389,0.3045296167247389,10.925000000000008
0_SAME_100_NEXT,TER,LONG,1,0.0,-0.1680275715800635,-0.1680275715800635,-0.1680275715800635,-0.1680275715800635,-237.67499999999995
0_SAME_100_NEXT,TGT,LONG,1,0.0,-0.5356758991318727,-0.5356758991318727,-0.5356758991318727,-0.5356758991318727,-161.97500000000002
0_SAME_100_NEXT,TMO,LONG,1,0.0,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-291.4999999999999
0_SAME_100_NEXT,TPR,LONG,1,0.0,-0.2375721467138336,-0.2375721467138336,-0.2375721467138336,-0.2375721467138336,-63.80000000000003
0_SAME_100_NEXT,TSLA,LONG,1,1.0,0.0167020148462355,0.0167020148462355,0.0167020148462355,0.0167020148462355,14.175000000000182
0_SAME_100_NEXT,TTD,LONG,1,1.0,0.494773519163763,0.494773519163763,0.494773519163763,0.494773519163763,53.25
0_SAME_100_NEXT,TTWO,LONG,2,0.5,0.082145793368046,0.082145793368046,0.1890243902439023,-0.0247328035078103,26.487499999999997
0_SAME_100_NEXT,TXN,SHORT,1,1.0,0.7572528883183567,0.7572528883183567,0.7572528883183567,0.7572528883183567,294.94999999999993
0_SAME_100_NEXT,UAL,LONG,1,0.0,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-281.425
