symbol,theme,event_return_5d,universe_return_5d,relative_return_5d,impact,positive_days,negative_days,best_day,best_day_return,worst_day,worst_day_return,max_intraday_up,max_intraday_down,avg_intraday_range
KO,Consumer,-0.037687450714531945,0.012874782683796271,-0.050562233398328216,STRONG NEGATIVE,1,4,2026-03-06,0.0030590991929186906,2026-03-04,-0.015510718789407352,0.004816454048425012,-0.01941992433795703,0.01580022410478814
ADI,Semiconductors,-0.039243118531760324,0.012874782683796271,-0.052117901215556595,STRONG NEGATIVE,1,4,2026-03-02,0.007278186887824445,2026-03-05,-0.02544890268233213,0.018031028812468763,-0.03835069829306126,0.02649161833605036
MDT,Healthcare,-0.040440738197653814,0.012874782683796271,-0.053315520881450085,STRONG NEGATIVE,1,4,2026-03-02,0.012700051626226116,2026-03-06,-0.01868654136962633,0.019772844605059348,-0.0255994815294881,0.020649612423042953
JCI,Industrials,-0.04358799522532131,0.012874782683796271,-0.05646277790911758,STRONG NEGATIVE,1,4,2026-03-02,0.008663709453839763,2026-03-06,-0.01875046320314233,0.012718325478236814,-0.035454872348076316,0.02519537593875971
DVN,Energy,-0.04483664845838342,0.012874782683796271,-0.05771143114217969,STRONG NEGATIVE,1,4,2026-03-05,0.007356269805341764,2026-03-03,-0.027624309392265234,0.015844273426889988,-0.03602209944751389,0.030761326043298797
COP,Energy,-0.045993719007780376,0.012874782683796271,-0.05886850169157665,STRONG NEGATIVE,0,5,2026-03-05,-0.001708890502841065,2026-03-03,-0.017948930525617746,0.015586138285524687,-0.02756070918410214,0.028853864491150284
OXY,Energy,-0.049933229114154765,0.012874782683796271,-0.06280801179795104,STRONG NEGATIVE,1,4,2026-03-04,0.023389021479713668,2026-03-02,-0.035421858312566834,0.028162291169451015,-0.05055179779280872,0.03617422142163953
PG,Consumer,-0.050517042500996756,0.012874782683796271,-0.06339182518479303,STRONG NEGATIVE,0,5,2026-03-06,-0.0002277756084861915,2026-03-05,-0.019594099467932558,0.007501966241151958,-0.02013572498168026,0.01858137648556184
PM,Consumer,-0.057058998205525624,0.012874782683796271,-0.0699337808893219,STRONG NEGATIVE,2,3,2026-03-04,0.011436155192861674,2026-03-05,-0.03837215892988721,0.01245270232111606,-0.04721419259763082,0.028775484776479666
ELV,Healthcare,-0.060246483061502376,0.012874782683796271,-0.07312126574529865,STRONG NEGATIVE,2,3,2026-03-04,0.026795774647887294,2026-03-02,-0.06951871657754005,0.03345070422535201,-0.08185931715343464,0.046129307499632954
LRCX,Semiconductors,-0.06332205210688913,0.012874782683796271,-0.0761968347906854,STRONG NEGATIVE,2,3,2026-03-02,0.0071101417666303846,2026-03-06,-0.030602315850929207,0.02675878174564561,-0.047407678579600154,0.043770199627978276
HAL,Energy,-0.06460277233825273,0.012874782683796271,-0.077477555022049,STRONG NEGATIVE,0,5,2026-03-05,-0.006399069226294518,2026-03-02,-0.022294725394236048,0.01220538720538733,-0.04866775421424685,0.03629751853788554
VRTX,Healthcare,-0.0670453561982648,0.012874782683796271,-0.07992013888206106,STRONG NEGATIVE,1,4,2026-03-04,0.004434916030855218,2026-03-05,-0.031548425730404284,0.009784139395085933,-0.03958523747990794,0.02686495307770249
XOM,Energy,-0.07436419902426183,0.012874782683796271,-0.0872389817080581,STRONG NEGATIVE,0,5,2026-03-05,-0.004161437347248831,2026-03-02,-0.030434509212098337,0.005812801373935139,-0.03747720555869971,0.028419622546498192
SLB,Energy,-0.08362637351770064,0.012874782683796271,-0.09650115620149691,STRONG NEGATIVE,0,5,2026-03-02,-0.009277155005798288,2026-03-03,-0.03344614772048571,0.010949631694206818,-0.04416312330885197,0.03916544613461741
