threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.005,APTV,LONG,1,1,1.0,0.01948962422882783,0.01948962422882783
0.005,GEV,SHORT,2,2,1.0,0.019293133033899894,0.03858626606779979
0.005,APP,LONG,1,1,1.0,0.019144578068912343,0.019144578068912343
0.005,HPE,LONG,1,1,1.0,0.019072286319755216,0.019072286319755216
0.005,IRM,LONG,1,1,1.0,0.01896788231398694,0.01896788231398694
0.005,MTD,SHORT,1,1,1.0,0.01836914947841889,0.01836914947841889
0.005,LEN,SHORT,1,1,1.0,0.01827774637271526,0.01827774637271526
0.005,MAR,LONG,1,1,1.0,0.017946380865574874,0.017946380865574874
0.005,ROP,LONG,1,1,1.0,0.017810647609550756,0.017810647609550756
0.005,EL,SHORT,2,2,1.0,0.017697742507755326,0.03539548501551065
0.005,F,SHORT,1,1,1.0,0.01763803680981585,0.01763803680981585
0.005,FICO,LONG,2,2,1.0,0.017338336346554684,0.03467667269310937
0.005,KEY,LONG,2,2,1.0,0.017129564208299808,0.034259128416599616
0.005,BAC,LONG,2,2,1.0,0.016884023480882138,0.033768046961764275
0.005,IBM,LONG,1,1,1.0,0.01669547454431175,0.01669547454431175
0.005,VRT,LONG,1,1,1.0,0.016682614302949483,0.016682614302949483
0.005,USB,LONG,1,1,1.0,0.01650485436893212,0.01650485436893212
0.005,PWR,LONG,2,2,1.0,0.015923321450644345,0.03184664290128869
0.005,ZBRA,LONG,2,1,0.5,0.015832424731403394,0.03166484946280679
0.005,TTD,LONG,3,2,0.6666666666666666,0.015692081906591843,0.047076245719775534
0.005,AXON,LONG,2,1,0.5,0.015687432466940543,0.031374864933881086
0.005,EBAY,LONG,1,1,1.0,0.014939257962131913,0.014939257962131913
0.005,TMUS,LONG,1,1,1.0,0.014789377289377237,0.014789377289377237
0.005,IT,LONG,2,2,1.0,0.014608103299173947,0.029216206598347894
0.005,GPN,LONG,3,3,1.0,0.014490532129017039,0.043471596387051115
0.005,NRG,SHORT,2,2,1.0,0.014489751823451717,0.028979503646903434
0.005,VRSK,LONG,1,1,1.0,0.014455169764203246,0.014455169764203246
0.005,CFG,LONG,2,2,1.0,0.01416476372511688,0.02832952745023376
0.005,SWKS,SHORT,1,1,1.0,0.014051317856519458,0.014051317856519458
0.005,DG,SHORT,1,1,1.0,0.014002019522046532,0.014002019522046532
0.005,XYZ,LONG,2,2,1.0,0.013819483133862276,0.027638966267724552
0.005,STX,SHORT,3,2,0.6666666666666666,0.013808839734709165,0.041426519204127495
0.005,MA,LONG,1,1,1.0,0.013763516005668608,0.013763516005668608
0.005,AON,LONG,1,1,1.0,0.013600380929706501,0.013600380929706501
0.005,ABNB,LONG,2,2,1.0,0.013550038025686884,0.027100076051373767
0.005,BKNG,LONG,1,1,1.0,0.013439687260681454,0.013439687260681454
0.005,HCA,LONG,1,1,1.0,0.013268275980140132,0.013268275980140132
0.005,COF,LONG,1,1,1.0,0.013226085078816618,0.013226085078816618
0.005,BAX,SHORT,1,1,1.0,0.01248339973439572,0.01248339973439572
0.005,ROK,SHORT,1,1,1.0,0.01232697832332194,0.01232697832332194
0.005,TER,LONG,1,1,1.0,0.012225548902195404,0.012225548902195404
0.005,AMP,LONG,2,2,1.0,0.011843256590094886,0.023686513180189772
0.005,BEN,LONG,3,3,1.0,0.011732839895154315,0.03519851968546295
0.005,ESS,LONG,1,1,1.0,0.011657414750198214,0.011657414750198214
0.005,VZ,LONG,1,1,1.0,0.011480601741884477,0.011480601741884477
0.005,SYY,SHORT,1,1,1.0,0.011467096922899508,0.011467096922899508
0.005,JKHY,LONG,1,1,1.0,0.011105108349840798,0.011105108349840798
0.005,PNC,LONG,1,1,1.0,0.010988471915624354,0.010988471915624354
0.005,CINF,LONG,2,2,1.0,0.010933148652633062,0.021866297305266125
