bias_threshold,reversal_threshold,entry_mode,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return_10m,entry_price,exit_price,trade_return,result
0.025,0.0025,threshold_only,2026-03-05,NRG,SHORT,SHORT,-0.028015847664159765,0.0034303727053588418,162.345,160.445,0.011703471003110694,WIN
0.025,0.0025,threshold_only,2026-03-05,ODFL,LONG,LONG,0.032818340189085804,-0.0025732197997567763,213.19,210.66,-0.01186734837468928,LOSS
0.025,0.0025,threshold_only,2026-03-05,ON,SHORT,SHORT,-0.030046032151794466,0.007598660021243431,61.66,60.845,0.01321764515082708,WIN
0.025,0.0025,threshold_only,2026-03-05,OXY,SHORT,SHORT,-0.053445478177402084,0.006670372429127269,54.33,53.24,0.020062580526412598,WIN
0.025,0.0025,threshold_only,2026-03-05,PNW,LONG,LONG,0.027792765948319698,-0.004152823920265725,101.915,101.765,-0.001471814747583844,LOSS
0.025,0.0025,threshold_only,2026-03-05,PWR,LONG,LONG,0.028196744741930013,-0.00960062814518714,555.0,549.11,-0.010612612612612593,LOSS
0.025,0.0025,threshold_only,2026-03-05,ROK,SHORT,SHORT,-0.03480345560783915,0.0032609560168614937,378.42,378.18,0.0006342159505311798,WIN
0.025,0.0025,threshold_only,2026-03-05,ROL,SHORT,SHORT,-0.05338855798464859,0.011103400416377474,58.28,58.165,0.001973232669869629,WIN
0.025,0.0025,threshold_only,2026-03-05,SOLV,SHORT,SHORT,-0.035636938776203775,0.012268618166164424,70.545,70.76,-0.00304770004961377,LOSS
0.025,0.0025,threshold_only,2026-03-05,STX,SHORT,SHORT,-0.049862758906967675,0.008531457221413463,374.145,367.29,0.01832177364390801,WIN
0.025,0.0025,threshold_only,2026-03-05,STZ,SHORT,SHORT,-0.04438275533018876,0.009428933164523423,151.485,147.295,0.027659504241344196,WIN
0.025,0.0025,threshold_only,2026-03-05,SWK,SHORT,SHORT,-0.03841686810512135,0.010452299505891105,79.755,77.92,0.02300796188326743,WIN
0.025,0.0025,threshold_only,2026-03-05,SWKS,SHORT,SHORT,-0.03383969602877701,0.009821428571428426,56.55,56.485,0.0011494252873562817,WIN
0.025,0.0025,threshold_only,2026-03-05,T,LONG,LONG,0.03545233974069717,-0.004842615012106588,28.77,28.96,0.0066041014946125465,WIN
0.025,0.0025,threshold_only,2026-03-05,TAP,SHORT,SHORT,-0.032919696503446394,0.00426621160409546,47.08,47.1,-0.0004248088360238557,LOSS
0.025,0.0025,threshold_only,2026-03-05,TEL,SHORT,SHORT,-0.06496289897938212,0.015033720494567193,216.73,210.595,0.028307110229317544,WIN
0.025,0.0025,threshold_only,2026-03-05,TPR,LONG,LONG,0.03242474292669595,-0.013066371969056911,151.82,149.55,-0.014951916743511928,LOSS
0.025,0.0025,threshold_only,2026-03-05,TXN,SHORT,SHORT,-0.03845940195975872,0.002886577415020186,201.51,198.02,0.01731923973996318,WIN
0.025,0.0025,threshold_only,2026-03-05,ULTA,SHORT,SHORT,-0.030238350314448992,0.0056076888148932635,664.405,653.48,0.016443283840428587,WIN
0.025,0.0025,threshold_only,2026-03-05,VMC,SHORT,SHORT,-0.026915642742044166,0.002606756988509762,292.31,287.19,0.017515651192227446,WIN
0.025,0.0025,threshold_only,2026-03-05,VRSK,LONG,LONG,0.027643635956796198,-0.008573871646137099,214.5,211.24,-0.015198135198135176,LOSS
0.025,0.0025,threshold_only,2026-03-05,VST,SHORT,SHORT,-0.030202251725881535,0.008289420973159434,163.6,167.4,-0.023227383863080753,LOSS
0.025,0.0025,threshold_only,2026-03-05,ZTS,SHORT,SHORT,-0.04016857432643217,0.0029235082098519882,125.215,122.22,0.02391885956155416,WIN
0.025,0.0025,threshold_only,2026-03-06,ABNB,LONG,LONG,0.03533189535861325,-0.007333133792277735,132.66,133.23,0.004296698326549109,WIN
0.025,0.0025,threshold_only,2026-03-06,ADSK,LONG,LONG,0.07603686848363855,-0.0042632917200374765,260.42,261.03,0.0023423700176636864,WIN
0.025,0.0025,threshold_only,2026-03-06,AKAM,LONG,LONG,0.06191697752602221,-0.01542159022631695,98.32,99.91,0.01617168429617588,WIN
0.025,0.0025,threshold_only,2026-03-06,APO,LONG,LONG,0.1271644432531609,-0.021018367821436956,105.265,108.695,0.032584429772478885,WIN
0.025,0.0025,threshold_only,2026-03-06,APP,LONG,LONG,0.23197016825544448,-0.019900939300655063,496.675,502.53,0.01178839281220112,WIN
0.025,0.0025,threshold_only,2026-03-06,APTV,LONG,LONG,0.036488737384056336,-0.01781538038244601,71.395,72.71,0.018418656768681263,WIN
0.025,0.0025,threshold_only,2026-03-06,ARES,LONG,LONG,0.09231993559046625,-0.009634085666470615,109.48,110.04,0.005115089514066584,WIN
0.025,0.0025,threshold_only,2026-03-06,AXP,LONG,LONG,0.02845199099129725,-0.015280644516945108,295.79,300.93,0.017377193279015435,WIN
0.025,0.0025,threshold_only,2026-03-06,BAC,LONG,LONG,0.036420761352160325,-0.018537590113285263,47.65,48.61,0.020146904512067243,WIN
0.025,0.0025,threshold_only,2026-03-06,BEN,LONG,LONG,0.047179698116389,-0.010266159695817456,26.03,26.245,0.008259700345754961,WIN
0.025,0.0025,threshold_only,2026-03-06,BKNG,LONG,LONG,0.08278196963384654,-0.005192563081009349,4494.54,4552.29,0.012848923360343933,WIN
0.025,0.0025,threshold_only,2026-03-06,BX,LONG,LONG,0.09942186883865811,-0.02626441881100272,109.74,110.43,0.006287588846364267,WIN
0.025,0.0025,threshold_only,2026-03-06,C,LONG,LONG,0.036392612719559736,-0.01742857142857146,103.17,106.545,0.03271299796452465,WIN
0.025,0.0025,threshold_only,2026-03-06,CDW,LONG,LONG,0.049209815359563036,-0.0132423430010562,121.46,123.34,0.015478346780833263,WIN
0.025,0.0025,threshold_only,2026-03-06,CFG,LONG,LONG,0.02584041468722642,-0.01618907453900098,56.82,58.02,0.02111932418162632,WIN
0.025,0.0025,threshold_only,2026-03-06,CIEN,SHORT,SHORT,-0.035085492429282605,0.03486588732490348,303.64,293.96,0.0318798577262548,WIN
0.025,0.0025,threshold_only,2026-03-06,CMCSA,LONG,LONG,0.026048357348134266,-0.005560851604702766,31.295,31.89,0.01901262182457253,WIN
0.025,0.0025,threshold_only,2026-03-06,COHR,SHORT,SHORT,-0.05448012191675755,0.020690376569037605,243.945,235.59,0.03424952345815651,WIN
