target_dte,moneyness_mode,slippage_per_side,executed_trades,coverage,win_rate,avg_option_return,median_option_return,profit_factor,portfolio_return,max_drawdown,avg_entry_premium,avg_contract_cost,positive_days,trading_days,rank_score
7,ITM_2,0.01,88,0.3534136546184739,0.45454545454545453,0.05000084476527181,-0.01581743540207675,1.7519277250352794,0.27460513211790216,-0.021357958054672443,10.540153409090909,1054.015340909091,3,4,0.1292461248372562
21,ATM,0.01,57,0.2289156626506024,0.5789473684210527,0.05494792310900722,0.04146039603960383,2.301688050632882,0.24210403342261588,-0.06489263458607797,10.56548596491228,1056.5485964912282,3,4,0.11883488283072764
21,OTM_1,0.01,62,0.24899598393574296,0.5483870967741935,0.05220092604768333,0.007001942198484268,2.085641398145835,0.23557977692353815,-0.021346141713029065,6.4211564516129025,642.1156451612902,3,4,0.11460941827025581
14,ITM_1,0.025,148,0.5943775100401606,0.4797297297297297,0.025138397710532882,-0.016072059788920734,1.3695720980077168,0.1453696503825772,-0.05198710550908969,10.98779222972973,1098.779222972973,3,4,0.11352772504744026
14,OTM_2,0.025,181,0.7269076305220884,0.4530386740331492,0.016638641260666113,-0.022146341463414654,1.2016190888715186,0.0806612853507247,-0.029222017432212644,7.196236187845303,719.6236187845304,3,4,0.08606556053566307
21,OTM_2,0.0,58,0.23293172690763053,0.5172413793103449,0.03972791185184928,0.014355704697986527,1.6929499089671083,0.153466096687648,-0.03841910779260915,9.124827586206896,912.4827586206897,3,4,0.059429637397809335
21,ITM_2,0.025,37,0.14859437751004015,0.5675675675675675,0.05298868220280745,0.039813486370158024,2.1122024269451867,0.09645461546130996,-0.048984977056773626,11.401601351351351,1140.1601351351353,2,4,0.05473563961859444
30,ATM,0.0,32,0.1285140562248996,0.59375,0.05264866268123841,0.039445453045056866,2.1948384219680213,0.27328260118044767,0.0,13.1734375,1317.34375,4,4,0.04987916119198838
30,OTM_1,0.0,38,0.15261044176706828,0.5263157894736842,0.043640433118510714,0.004907829038588218,2.023587298912571,0.3019979586374655,-0.02544432750484127,7.331315789473684,733.1315789473684,3,4,0.0426404085290362
21,ITM_1,0.025,49,0.19678714859437751,0.4897959183673469,0.03653788198834906,-0.0021168890934193385,1.6608692161821492,0.1278839492242867,-0.03199297673975521,13.168321428571426,1316.8321428571426,3,4,0.03967454888121703
7,ITM_2,0.025,88,0.3534136546184739,0.4090909090909091,0.018958691187584652,-0.04491374182034502,1.2333240432274257,0.1304292353294132,-0.0502904648379785,10.69669034090909,1069.669034090909,3,4,0.03019399769563328
21,ATM,0.025,57,0.2289156626506024,0.5087719298245614,0.02375951444355253,0.010670731707317138,1.434046799860704,0.10160447131451411,-0.09253808515263873,10.722399122807017,1072.2399122807017,3,4,0.027422079099207523
21,OTM_1,0.025,62,0.24899598393574296,0.43548387096774194,0.02109372941656193,-0.022768994747516758,1.337094571555064,0.09581820064958158,-0.05027899783385592,6.516520161290321,651.6520161290322,3,4,0.022928258902373988
