symbol,trade_direction,trades,wins,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_10m,score
MA,LONG,2,2,1.0,0.005784134289611109,0.005784134289611109,0.011568268579222218,0.010448512054487047,0.0011197565247351715,0.03152375119552231,-0.0045984845262734275,0.011568268579222218
PNC,LONG,2,2,1.0,0.005511135670931644,0.005511135670931644,0.011022271341863288,0.008021521154316424,0.0030007501875468634,0.029592558151541937,-0.00888771591878923,0.011022271341863288
CRM,LONG,1,1,1.0,0.010753494885837878,0.010753494885837878,0.010753494885837878,0.010753494885837878,0.010753494885837878,0.03833435096065485,-0.008529419057300869,0.010753494885837878
AXON,LONG,2,1,0.5,0.010039992941630882,0.010039992941630882,0.020079985883261764,0.023404104991698205,-0.0033241191084364408,0.04569187111883222,-0.0067328708599252995,0.010039992941630882
TTWO,LONG,2,2,1.0,0.00501622055532458,0.00501622055532458,0.01003244111064916,0.005516191925436287,0.004516249185212873,0.028889879800294893,-0.00949072510086335,0.01003244111064916
CINF,LONG,1,1,1.0,0.00931322477918628,0.00931322477918628,0.00931322477918628,0.00931322477918628,0.00931322477918628,0.026676511194927643,-0.009109311740890691,0.00931322477918628
PAYX,LONG,1,1,1.0,0.009112457203055202,0.009112457203055202,0.009112457203055202,0.009112457203055202,0.009112457203055202,0.025125500181276017,-0.0037258606213266265,0.009112457203055202
MKC,SHORT,1,1,1.0,0.008332696277043066,0.008332696277043066,0.008332696277043066,0.008332696277043066,0.008332696277043066,-0.07349088834093642,0.006230769230769262,0.008332696277043066
FISV,LONG,1,1,1.0,0.008313349320543617,0.008313349320543617,0.008313349320543617,0.008313349320543617,0.008313349320543617,0.058739545645962954,-0.0054853326973528516,0.008313349320543617
HRL,SHORT,1,1,1.0,0.008264462809917286,0.008264462809917286,0.008264462809917286,0.008264462809917286,0.008264462809917286,-0.031036439545401362,0.006288032454361048,0.008264462809917286
EBAY,LONG,1,1,1.0,0.007715294756859503,0.007715294756859503,0.007715294756859503,0.007715294756859503,0.007715294756859503,0.049416729086755984,-0.005135135135135083,0.007715294756859503
META,LONG,1,1,1.0,0.007051547357817212,0.007051547357817212,0.007051547357817212,0.007051547357817212,0.007051547357817212,0.038277318310478314,-0.011600802716887904,0.007051547357817212
T,LONG,1,1,1.0,0.0066041014946125465,0.0066041014946125465,0.0066041014946125465,0.0066041014946125465,0.0066041014946125465,0.03545233974069717,-0.004842615012106588,0.0066041014946125465
GS,LONG,1,1,1.0,0.006398579898133194,0.006398579898133194,0.006398579898133194,0.006398579898133194,0.006398579898133194,0.05185146681284225,-0.008615136876006457,0.006398579898133194
BAX,SHORT,1,1,1.0,0.005084292213005024,0.005084292213005024,0.005084292213005024,0.005084292213005024,0.005084292213005024,-0.037292277178473276,0.0029522275899087624,0.005084292213005024
JPM,LONG,1,1,1.0,0.005036261079774285,0.005036261079774285,0.005036261079774285,0.005036261079774285,0.005036261079774285,0.02505653765622884,-0.008488964346349825,0.005036261079774285
GEHC,SHORT,1,1,1.0,0.005034091633212391,0.005034091633212391,0.005034091633212391,0.005034091633212391,0.005034091633212391,-0.042065522404435396,0.004416282642089042,0.005034091633212391
DG,SHORT,1,1,1.0,0.004762228723042499,0.004762228723042499,0.004762228723042499,0.004762228723042499,0.004762228723042499,-0.040469405254865864,0.011387484088485333,0.004762228723042499
LH,SHORT,1,1,1.0,0.004687894414193543,0.004687894414193543,0.004687894414193543,0.004687894414193543,0.004687894414193543,-0.025416766693343806,0.003292329956584794,0.004687894414193543
CMCSA,LONG,2,1,0.5,0.004492208749954707,0.004492208749954707,0.008984417499909414,0.01901262182457253,-0.010028204324663115,0.030880431643808604,-0.004342437673641564,0.004492208749954707
ABNB,LONG,1,1,1.0,0.004296698326549109,0.004296698326549109,0.004296698326549109,0.004296698326549109,0.004296698326549109,0.03533189535861325,-0.007333133792277735,0.004296698326549109
HST,LONG,1,1,1.0,0.004180820486020309,0.004180820486020309,0.004180820486020309,0.004180820486020309,0.004180820486020309,0.03372252201128467,-0.023226135783562918,0.004180820486020309
CCI,LONG,1,1,1.0,0.004008908685968704,0.004008908685968704,0.004008908685968704,0.004008908685968704,0.004008908685968704,0.031205739990771475,-0.006856890068568933,0.004008908685968704
VRT,LONG,1,1,1.0,0.0032774643212745147,0.0032774643212745147,0.0032774643212745147,0.0032774643212745147,0.0032774643212745147,0.04357718281678147,-0.005118045236916058,0.0032774643212745147
NFLX,LONG,1,1,1.0,0.003039205754229668,0.003039205754229668,0.003039205754229668,0.003039205754229668,0.003039205754229668,0.046808946469584445,-0.0067917693816975655,0.003039205754229668
TSLA,LONG,1,1,1.0,0.0027177004462084486,0.0027177004462084486,0.0027177004462084486,0.0027177004462084486,0.0027177004462084486,0.045570091080502806,-0.006604970051609205,0.0027177004462084486
HUM,SHORT,2,1,0.5,0.002533620501405133,0.002533620501405133,0.005067241002810266,0.009676800350886892,-0.004609559348076626,-0.03761887901973621,0.00527964968464778,0.002533620501405133
ADSK,LONG,1,1,1.0,0.0023423700176636864,0.0023423700176636864,0.0023423700176636864,0.0023423700176636864,0.0023423700176636864,0.07603686848363855,-0.0042632917200374765,0.0023423700176636864
ROL,SHORT,1,1,1.0,0.001973232669869629,0.001973232669869629,0.001973232669869629,0.001973232669869629,0.001973232669869629,-0.05338855798464859,0.011103400416377474,0.001973232669869629
MGM,LONG,1,1,1.0,0.001829954954954971,0.001829954954954971,0.001829954954954971,0.001829954954954971,0.001829954954954971,0.05947986213801015,-0.0190555095277547,0.001829954954954971
HPE,LONG,1,1,1.0,0.0013882461823231385,0.0013882461823231385,0.0013882461823231385,0.0013882461823231385,0.0013882461823231385,0.03870819502428402,-0.006893382352941235,0.0013882461823231385
SWKS,SHORT,1,1,1.0,0.0011494252873562817,0.0011494252873562817,0.0011494252873562817,0.0011494252873562817,0.0011494252873562817,-0.03383969602877701,0.009821428571428426,0.0011494252873562817
SOLV,SHORT,2,1,0.5,0.0008092947715731933,0.0008092947715731933,0.0016185895431463865,0.004666289592760157,-0.00304770004961377,-0.03488772710930732,0.008335700930831136,0.0008092947715731933
PWR,LONG,2,1,0.5,0.0006578376164980138,0.0006578376164980138,0.0013156752329960275,0.01192828784560862,-0.010612612612612593,0.030719087886466823,-0.012495723121272728,0.0006578376164980138
L,LONG,1,1,1.0,0.000637058609392227,0.000637058609392227,0.000637058609392227,0.000637058609392227,0.000637058609392227,0.029660351999942325,-0.005070626584570803,0.000637058609392227
ROK,SHORT,1,1,1.0,0.0006342159505311798,0.0006342159505311798,0.0006342159505311798,0.0006342159505311798,0.0006342159505311798,-0.03480345560783915,0.0032609560168614937,0.0006342159505311798
PCAR,SHORT,1,1,1.0,0.00020007202592926633,0.00020007202592926633,0.00020007202592926633,0.00020007202592926633,0.00020007202592926633,-0.025082930133032977,0.00478449662270819,0.00020007202592926633
MS,LONG,1,0,0.0,-0.00011936022917169442,-0.00011936022917169442,-0.00011936022917169442,-0.00011936022917169442,-0.00011936022917169442,0.03730715245018734,-0.002500297654482564,-0.0
MCD,SHORT,1,0,0.0,-0.00039177277179234675,-0.00039177277179234675,-0.00039177277179234675,-0.00039177277179234675,-0.00039177277179234675,-0.025221038077916536,0.006018069366965806,-0.0
TAP,SHORT,1,0,0.0,-0.0004248088360238557,-0.0004248088360238557,-0.0004248088360238557,-0.0004248088360238557,-0.0004248088360238557,-0.032919696503446394,0.00426621160409546,-0.0
WYNN,LONG,1,0,0.0,-0.0004917387883557334,-0.0004917387883557334,-0.0004917387883557334,-0.0004917387883557334,-0.0004917387883557334,0.030267673229063652,-0.0069342709248949586,-0.0
RJF,LONG,1,0,0.0,-0.0010510757102972779,-0.0010510757102972779,-0.0010510757102972779,-0.0010510757102972779,-0.0010510757102972779,0.032407378714955026,-0.009274324764074304,-0.0
PNW,LONG,1,0,0.0,-0.001471814747583844,-0.001471814747583844,-0.001471814747583844,-0.001471814747583844,-0.001471814747583844,0.027792765948319698,-0.004152823920265725,-0.0
ETN,SHORT,1,0,0.0,-0.001652379002076008,-0.001652379002076008,-0.001652379002076008,-0.001652379002076008,-0.001652379002076008,-0.03695551503213679,0.009855097267385649,-0.0
CVNA,LONG,1,0,0.0,-0.002151517055091423,-0.002151517055091423,-0.002151517055091423,-0.002151517055091423,-0.002151517055091423,0.03145352892506326,-0.01194798746237169,-0.0
FTNT,LONG,1,0,0.0,-0.002325165444464261,-0.002325165444464261,-0.002325165444464261,-0.002325165444464261,-0.002325165444464261,0.08562112953058132,-0.0033275892804088825,-0.0
EME,LONG,1,0,0.0,-0.0024174758589109446,-0.0024174758589109446,-0.0024174758589109446,-0.0024174758589109446,-0.0024174758589109446,0.028383121620897844,-0.0047449902821525836,-0.0
APA,SHORT,2,0,0.0,-0.0027248970478796373,-0.0027248970478796373,-0.005449794095759275,-0.0004823926676314703,-0.004967401428127805,-0.04660024446072081,0.01143770505658781,-0.0
CF,SHORT,2,0,0.0,-0.0035287987874194986,-0.0035287987874194986,-0.007057597574838997,0.0,-0.007057597574838997,-0.033063513663379174,0.023575614903992625,-0.0
PCG,SHORT,1,0,0.0,-0.003593145384190231,-0.003593145384190231,-0.003593145384190231,-0.003593145384190231,-0.003593145384190231,-0.03284161798908236,0.0033277870216306127,-0.0
DE,SHORT,1,0,0.0,-0.00359914233204004,-0.00359914233204004,-0.00359914233204004,-0.00359914233204004,-0.00359914233204004,-0.04553942896950203,0.0050625983443934874,-0.0
HOOD,LONG,1,0,0.0,-0.003684788932704075,-0.003684788932704075,-0.003684788932704075,-0.003684788932704075,-0.003684788932704075,0.09841791627330432,-0.00865162778774664,-0.0
CDNS,LONG,1,0,0.0,-0.003738224592533479,-0.003738224592533479,-0.003738224592533479,-0.003738224592533479,-0.003738224592533479,0.028296512903534854,-0.006782178217821788,-0.0
BLK,LONG,1,0,0.0,-0.0037978769867643702,-0.0037978769867643702,-0.0037978769867643702,-0.0037978769867643702,-0.0037978769867643702,0.03226271207874554,-0.004042572305306247,-0.0
PYPL,LONG,1,0,0.0,-0.003923231894815027,-0.003923231894815027,-0.003923231894815027,-0.003923231894815027,-0.003923231894815027,0.0852381550154735,-0.0026438240270727498,-0.0
DVN,SHORT,1,0,0.0,-0.003947665237987915,-0.003947665237987915,-0.003947665237987915,-0.003947665237987915,-0.003947665237987915,-0.05513141321935666,0.003395201448619156,-0.0
AIG,SHORT,1,0,0.0,-0.004013545716794095,-0.004013545716794095,-0.004013545716794095,-0.004013545716794095,-0.004013545716794095,-0.037350208325612755,0.008219524532119493,-0.0
BRK.B,SHORT,1,0,0.0,-0.004647089129314777,-0.004647089129314777,-0.004647089129314777,-0.004647089129314777,-0.004647089129314777,-0.03500768161896051,0.008835758835758822,-0.0
RL,LONG,1,0,0.0,-0.004975949577044281,-0.004975949577044281,-0.004975949577044281,-0.004975949577044281,-0.004975949577044281,0.029947169902750703,-0.006822705745075153,-0.0
NOC,LONG,1,0,0.0,-0.004987089924898824,-0.004987089924898824,-0.004987089924898824,-0.004987089924898824,-0.004987089924898824,0.028323424255407348,-0.006109475549071153,-0.0
VTRS,LONG,1,0,0.0,-0.005340453938584733,-0.005340453938584733,-0.005340453938584733,-0.005340453938584733,-0.005340453938584733,0.043718388636287075,-0.013175230566534912,-0.0
